feature,importance,rank,selected
fase_rondas_mean_m1_g,0.0011405993,410,0
cat_liga_sum_m3_p,0.0011369311,411,0
liga_pss_mean_m1_g,0.0011344339,412,0
fmt_dobles_sum_m7_g,0.0011324154,413,0
wr_tier_DOU_m12_p,0.0011318995,414,0
pokes_venc_sum_m18_p,0.0011309027,415,0
liga_pjs_sum_m3_g,0.001128074,416,0
fmt_singles_mean_m5_p,0.0011213565,417,0
fmt_vgc_mean_m7_p,0.0011191601,418,0
wr_ratio_m3_vs_m12_p,0.0011181949,419,0
wr_tier_UBERS_m9_g,0.0011163703,420,0
rep_actual_mean_m9_p,0.0011036337,421,0
wr_rep_2_m18_g,0.0011006055,422,0
fmt_vgc_mean_m24_p,0.0010961024,423,0
fmt_vgc_mean_m24_g,0.0010911964,424,0
n_batallas_m3_p,0.0010880369,425,0
liga_pjs_mean_m7_g,0.0010870149,426,0
pokes_sob_sum_m3_p,0.0010849737,427,0
wr_rep_2_m1_g,0.0010839021,428,0
wr_tier_NAT DEX DOBLES_m9_p,0.001077952,429,0
wr_tier_RANDOM SINGLES_m12_g,0.0010713018,430,0
pokes_sob_mean_m5_p,0.0010679854,431,0
wr_tier_NAT DEX DOBLES_m24_p,0.0010647412,432,0
wr_tier_NAT DEX DOBLES_m18_p,0.0010611856,433,0
wr_tier_RANDOM SINGLES_m5_p,0.0010610597,434,0
wr_tier_VGC_m3_p,0.00106006,435,0
nb_diff_m3_vs_m5_p,0.0010583032,436,0
fmt_vgc_mean_m5_p,0.0010564255,437,0
wr_diff_m24_vs_m36_g,0.0010556808,438,0
fase_rondas_sum_m9_p,0.0010514357,439,0
wr_tier_DOU_m36_p,0.0010465347,440,0
pokes_sob_mean_m24_g,0.0010441535,441,0
wr_ratio_m1_vs_m3_p,0.0010403343,442,0
fmt_vgc_sum_m24_g,0.0010316686,443,0
fase_rondas_sum_m3_p,0.0010266949,444,0
liga_pss_mean_m5_p,0.0010112936,445,0
fmt_vgc_mean_m12_p,0.00101095,446,0
wr_tier_NAT DEX_m5_g,0.0010091352,447,0
fmt_dobles_sum_m1_p,0.0010041258,448,0
cat_torneo_mean_m1_g,0.0010029506,449,0
fmt_singles_sum_m7_g,0.0009986047,450,0
wr_rep_3_m18_g,0.0009982361,451,0
fmt_vgc_mean_m18_g,0.000997802,452,0
wr_tier_RANDOM DOUBLES_m12_p,0.0009948122,453,0
fmt_dobles_sum_m18_g,0.0009927595,454,0
winrate_m3_g,0.0009847297,455,0
cat_torneo_mean_m5_g,0.0009837161,456,0
pokes_venc_mean_m1_p,0.0009804926,457,0
wr_tier_NAT DEX_m3_p,0.0009795623,458,0
wr_diff_m1_vs_m36_g,0.00096632045,459,0
wr_tier_NAT DEX DOBLES_m24_g,0.0009563617,460,0
liga_pss_sum_m5_p,0.0009462607,461,0
wr_tier_VGC_m12_p,0.0009462465,462,0
fmt_vgc_sum_m36_p,0.00094533834,463,0
wr_tier_RANDOM SINGLES_m15_g,0.0009438302,464,0
wr_diff_m1_vs_m36_p,0.00093508913,465,0
wr_tier_DOU_m15_p,0.000933323,466,0
liga_pjs_sum_m1_p,0.0009322887,467,0
fmt_dobles_mean_m36_p,0.00093211775,468,0
winrate_m9_g,0.0009279901,469,0
wr_rep_1_m15_g,0.00091804686,470,0
wr_rep_3_m3_p,0.0009143729,471,0
n_batallas_m3_g,0.0009091458,472,0
fmt_dobles_sum_m3_g,0.0009073194,473,0
fmt_vgc_sum_m9_p,0.00090423157,474,0
n_batallas_m1_g,0.0009040654,475,0
liga_pms_mean_m12_g,0.0009015036,476,0
pokes_venc_mean_m15_g,0.0009012191,477,0
wr_rep_3_m1_p,0.0009010485,478,0
liga_pss_sum_m15_g,0.00089812325,479,0
nb_ratio_m1_vs_m3_p,0.0008973003,480,0
fase_grupos_sum_m18_p,0.00089625566,481,0
wr_tier_LEYENDAS Z-A OU_m3_p,0.00089557073,482,0
fmt_singles_sum_m5_g,0.0008944762,483,0
nb_ratio_m12_vs_m24_g,0.0008944279,484,0
fmt_singles_sum_m9_p,0.000887807,485,0
fase_elim_sum_m5_g,0.0008744856,486,0
fmt_singles_mean_m15_g,0.00087179925,487,0
fmt_dobles_sum_m9_g,0.0008713339,488,0
fase_rondas_sum_m12_p,0.00085526117,489,0
wr_ratio_m3_vs_m5_g,0.00085455505,490,0
liga_pes_sum_m1_p,0.0008501809,491,0
fmt_dobles_mean_m5_g,0.0008254882,492,0
cat_torneo_sum_m5_g,0.0008220469,493,0
rep_actual_mean_m7_g,0.00081379054,494,0
fmt_dobles_sum_m5_g,0.0008109197,495,0
fase_grupos_mean_m18_p,0.00081083365,496,0
wr_rep_2_m1_p,0.0008061357,497,0
wr_rep_4_m7_p,0.000800886,498,0
wr_rep_2_m15_p,0.00079914654,499,0
wr_tier_VGC_m1_g,0.0007972673,500,0
wr_tier_DOU_m12_g,0.0007928345,501,0
nb_diff_m1_vs_m3_g,0.0007882709,502,0
cat_ascenso_sum_m9_g,0.0007698835,503,0
fmt_dobles_sum_m15_g,0.0007618957,504,0
fmt_vgc_mean_m5_g,0.0007607,505,0
wr_diff_m3_vs_m12_g,0.00074785383,506,0
wr_rep_4_m24_g,0.0007429265,507,0
rep_actual_sum_m9_g,0.00073857734,508,0
wr_tier_RANDOM SINGLES_m3_p,0.0007364684,509,0
pokes_sob_mean_m3_g,0.0007356042,510,0
cat_liga_mean_m3_g,0.00073307124,511,0
fase_grupos_sum_m12_p,0.0007304997,512,0
rep_actual_sum_m5_g,0.00073039037,513,0
fase_elim_mean_m36_g,0.0007274505,514,0
cat_liga_sum_m9_g,0.000725494,515,0
wr_ratio_m1_vs_m3_g,0.00072058523,516,0
wr_tier_Free For all Randoms_m3_p,0.0007106596,517,0
n_batallas_m18_p,0.0007095973,518,0
rep_actual_sum_m9_p,0.0007087259,519,0
wr_tier_NAT DEX DOBLES_m15_p,0.0007075712,520,0
liga_pss_sum_m12_g,0.00069239736,521,0
pokes_venc_mean_m7_g,0.0006816427,522,0
fmt_vgc_sum_m36_g,0.0006762709,523,0
liga_pss_mean_m18_p,0.00067373214,524,0
nb_ratio_m1_vs_m12_g,0.00065800705,525,0
cat_torneo_sum_m15_g,0.00064353406,526,0
winrate_m3_p,0.00063222,527,0
cat_ascenso_sum_m24_g,0.0006042168,528,0
winrate_m5_g,0.00057325163,529,0
fmt_singles_mean_m7_g,0.0005692214,530,0
